source_file	target_file	status	reason
Э/Эротика/Жнец Анна/Верхний мир [Жнец]/03 - Елена - чудовище для демона и дракона.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Верхний мир [Жнец]/03 - Елена - чудовище для демона и дракона.zip	copied	
Э/Эротика/Жнец Анна/Верхний мир [Жнец]/04 - Влюблён до смерти.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Верхний мир [Жнец]/04 - Влюблён до смерти.zip	copied	
Э/Эротика/Жнец Анна/Весь твой/01 - Весь твой, только твой эльф.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Весь твой/01 - Весь твой, только твой эльф.zip	copied	
Э/Эротика/Жнец Анна/Весь твой/02 - Владыка пещерных фейри.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Весь твой/02 - Владыка пещерных фейри.zip	copied	
Э/Эротика/Жнец Анна/Запретные сказки/01 - Сама невинность для порочного дракона.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Запретные сказки/01 - Сама невинность для порочного дракона.zip	copied	
Э/Эротика/Жнец Анна/Запретные сказки/02 - Мужчина для удовольствий.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Запретные сказки/02 - Мужчина для удовольствий.zip	copied	
Э/Эротика/Жнец Анна/Запретные сказки/03 - Ревнивый раб долины песков.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Запретные сказки/03 - Ревнивый раб долины песков.zip	copied	
Э/Эротика/Жнец Анна/Запретные сказки/04 - В постели с диким эльфом  В темнице с диким эльфом.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Запретные сказки/04 - В постели с диким эльфом  В темнице с диким эльфом.zip	copied	
Э/Эротика/Жнец Анна/Запретные сказки/05 - Чувственное исцеление.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Запретные сказки/05 - Чувственное исцеление.zip	copied	
Э/Эротика/Жнец Анна/Запретные сказки/06 - Бракованный.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Запретные сказки/06 - Бракованный.zip	copied	
Э/Эротика/Жнец Анна/На Цепи/01 - На цепи.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/На Цепи/01 - На цепи.zip	copied	
Э/Эротика/Жнец Анна/На Цепи/02 - Раб Наилон. Вкус свободы.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/На Цепи/02 - Раб Наилон. Вкус свободы.zip	copied	
Э/Эротика/Жнец Анна/Спасти эльфа/01 - Спасти эльфа.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Спасти эльфа/01 - Спасти эльфа.zip	copied	
Э/Эротика/Жнец Анна/Спасти эльфа/02 - В плену. И после. История одного эльфа.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Спасти эльфа/02 - В плену. И после. История одного эльфа.zip	copied	
Э/Эротика/Жнец Анна/Спасти эльфа/03 - Дракон из сумрака [издательская «Спасти эльфа»].zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Жнец Анна/Спасти эльфа/03 - Дракон из сумрака [издательская «Спасти эльфа»].zip	copied	
Э/Эротика/Кириллов Сергей/Призван, чтобы/01 - Призван, чтобы умереть.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Кириллов Сергей/Призван, чтобы/01 - Призван, чтобы умереть.zip	copied	
Э/Эротика/Кириллов Сергей/Призван, чтобы/02 - Призван, чтобы защитить.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Кириллов Сергей/Призван, чтобы/02 - Призван, чтобы защитить.zip	copied	
Э/Эротика/Кириллов Сергей/Призван, чтобы/03 - Призван, чтобы завоевать Часть 1.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Кириллов Сергей/Призван, чтобы/03 - Призван, чтобы завоевать Часть 1.zip	copied	
Э/Эротика/Кириллов Сергей/Призван, чтобы/03 - Призван, чтобы завоевать Часть 2.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Кириллов Сергей/Призван, чтобы/03 - Призван, чтобы завоевать Часть 2.zip	copied	
Э/Эротика/Лейк Оливия/От ненависти до любви в большом городе/01 - Поцелуй меня, если осмелишься!.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Лейк Оливия/От ненависти до любви в большом городе/01 - Поцелуй меня, если осмелишься!.zip	copied	
Э/Эротика/Лейк Оливия/От ненависти до любви в большом городе/02 - Свадебный переполох, или Уроки взаимного приручения.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Лейк Оливия/От ненависти до любви в большом городе/02 - Свадебный переполох, или Уроки взаимного приручения.zip	copied	
Э/Эротика/Лейк Оливия/От ненависти до любви в большом городе/03 - Его игрушка.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Лейк Оливия/От ненависти до любви в большом городе/03 - Его игрушка.zip	copied	
Э/Эротика/Лейк Оливия/От ненависти до любви в большом городе/04 - Нам нельзя.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Лейк Оливия/От ненависти до любви в большом городе/04 - Нам нельзя.zip	copied	
Э/Эротика/Лейк Оливия/От ненависти до любви в большом городе/05 - Нам можно.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Лейк Оливия/От ненависти до любви в большом городе/05 - Нам можно.zip	copied	
Э/Эротика/Ли Эдвард/0Земля безумств.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Ли Эдвард/0Земля безумств.zip	copied	
Э/Эротика/Ли Эдвард/0Привратники.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Ли Эдвард/0Привратники.zip	copied	
Э/Эротика/Ли Эдвард/0Сплаттерпанк истории Мики Хэйса.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Ли Эдвард/0Сплаттерпанк истории Мики Хэйса.zip	copied	
Э/Эротика/Ли Эдвард/0Суккубы.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Ли Эдвард/0Суккубы.zip	copied	
Э/Эротика/Морган Софи/Эротика. Реальные истории/0Интимный дневник «подчиненной». Реальные «50 оттенков».zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Морган Софи/Эротика. Реальные истории/0Интимный дневник «подчиненной». Реальные «50 оттенков».zip	copied	
Э/Эротика/Морган Софи/Эротика. Реальные истории/0НЕобычная любовь. Дневник «подчиненной».zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Морган Софи/Эротика. Реальные истории/0НЕобычная любовь. Дневник «подчиненной».zip	copied	
Э/Эротика/Нансен Бетти/0Дневник.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Нансен Бетти/0Дневник.zip	copied	
Э/Эротика/Некрасов Игорь/Воплощение Похоти/01 - Воплощение Похоти 1. 18+.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Некрасов Игорь/Воплощение Похоти/01 - Воплощение Похоти 1. 18+.zip	copied	
Э/Эротика/Некрасов Игорь/Воплощение Похоти/02 - Воплощение Похоти 2. 18+.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Некрасов Игорь/Воплощение Похоти/02 - Воплощение Похоти 2. 18+.zip	copied	
Э/Эротика/Некрасов Игорь/Воплощение Похоти/03 - Воплощение Похоти 3. 18+.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Некрасов Игорь/Воплощение Похоти/03 - Воплощение Похоти 3. 18+.zip	copied	
Э/Эротика/Некрасов Игорь/Воплощение Похоти/04 - Воплощение Похоти 4. 18+.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Некрасов Игорь/Воплощение Похоти/04 - Воплощение Похоти 4. 18+.zip	copied	
Э/Эротика/Некрасов Игорь/Воплощение Похоти/05 - Воплощение Похоти 5. 18+.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Некрасов Игорь/Воплощение Похоти/05 - Воплощение Похоти 5. 18+.zip	copied	
Э/Эротика/Некрасов Игорь/Воплощение Похоти/06 - Воплощение Похоти 6.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Некрасов Игорь/Воплощение Похоти/06 - Воплощение Похоти 6.zip	copied	
Э/Эротика/Некрасов Игорь/Воплощение Похоти/07 - Воплощение Похоти 7. 18+.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Некрасов Игорь/Воплощение Похоти/07 - Воплощение Похоти 7. 18+.zip	copied	
Э/Эротика/Некрасов Игорь/Вулкан Капитал/01 - Вулкан Капитал Орал на Работе 1. 18+.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Некрасов Игорь/Вулкан Капитал/01 - Вулкан Капитал Орал на Работе 1. 18+.zip	copied	
Э/Эротика/Некрасов Игорь/Вулкан Капитал/02 - Вулкан Капитал Орал на Работе 2. 18+.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Некрасов Игорь/Вулкан Капитал/02 - Вулкан Капитал Орал на Работе 2. 18+.zip	copied	
Э/Эротика/Некрасов Игорь/Вулкан Капитал/03 - Вулкан Капитал Орал на Работе 3. 18+.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Некрасов Игорь/Вулкан Капитал/03 - Вулкан Капитал Орал на Работе 3. 18+.zip	copied	
Э/Эротика/Некрасов Игорь/Вулкан Капитал/04 - Вулкан Капитал Орал на Работе 4. 18+.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Некрасов Игорь/Вулкан Капитал/04 - Вулкан Капитал Орал на Работе 4. 18+.zip	copied	
Э/Эротика/Панюшин Александр/0Ольга.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Панюшин Александр/0Ольга.zip	copied	
Э/Эротика/Подземный Дмитрий/0Анти-романтика (СИ).zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Подземный Дмитрий/0Анти-романтика (СИ).zip	copied	
Э/Эротика/Подземный Дмитрий/0Гадкий утенок (СИ).zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Подземный Дмитрий/0Гадкий утенок (СИ).zip	copied	
Э/Эротика/Подземный Дмитрий/0Мусор (СИ).zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Подземный Дмитрий/0Мусор (СИ).zip	copied	
Э/Эротика/Подземный Дмитрий/0Охотник на женщин (СИ).zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Подземный Дмитрий/0Охотник на женщин (СИ).zip	copied	
Э/Эротика/Подземный Дмитрий/0Сказки (СИ).zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Подземный Дмитрий/0Сказки (СИ).zip	copied	
Э/Эротика/Просвирнов Александр/0Кузина.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Просвирнов Александр/0Кузина.zip	copied	
Э/Эротика/Резник Юлия/0Семь.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/0Семь.zip	copied	
Э/Эротика/Резник Юлия/0Хорошая девочка (СИ).zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/0Хорошая девочка (СИ).zip	copied	
Э/Эротика/Резник Юлия/0Что, если.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/0Что, если.zip	copied	
Э/Эротика/Резник Юлия/Байсаровы/01 - Раз и навсегда.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Байсаровы/01 - Раз и навсегда.zip	copied	
Э/Эротика/Резник Юлия/Байсаровы/02 - Неподходящая.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Байсаровы/02 - Неподходящая.zip	copied	
Э/Эротика/Резник Юлия/Байсаровы/03 - Даже не сомневайся.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Байсаровы/03 - Даже не сомневайся.zip	copied	
Э/Эротика/Резник Юлия/Байсаровы/04 - Если бы ты любил.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Байсаровы/04 - Если бы ты любил.zip	copied	
Э/Эротика/Резник Юлия/Белые/01 - Его маленькая большая женщина.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Белые/01 - Его маленькая большая женщина.zip	copied	
Э/Эротика/Резник Юлия/Белые/02 - Сердце бьется.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Белые/02 - Сердце бьется.zip	copied	
Э/Эротика/Резник Юлия/Белые/03 - Вдребезги.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Белые/03 - Вдребезги.zip	copied	
Э/Эротика/Резник Юлия/Самоотвод/01 - Самоотвод.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Самоотвод/01 - Самоотвод.zip	copied	
Э/Эротика/Резник Юлия/Самоотвод/02 - Похмелье.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Самоотвод/02 - Похмелье.zip	copied	
Э/Эротика/Резник Юлия/Тени [Резник]/01 - Первый.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Тени [Резник]/01 - Первый.zip	copied	
Э/Эротика/Резник Юлия/Тени [Резник]/02 - Близкие люди.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Тени [Резник]/02 - Близкие люди.zip	copied	
Э/Эротика/Резник Юлия/Тени [Резник]/03 - Отпуск с последствиями.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Тени [Резник]/03 - Отпуск с последствиями.zip	copied	
Э/Эротика/Резник Юлия/Тени [Резник]/04 - Скрытые чувства.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Тени [Резник]/04 - Скрытые чувства.zip	copied	
Э/Эротика/Резник Юлия/Тени [Резник]/05 - Девочка из снов.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Тени [Резник]/05 - Девочка из снов.zip	copied	
Э/Эротика/Резник Юлия/Тени [Резник]/06 - А если это любовь.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Тени [Резник]/06 - А если это любовь.zip	copied	
Э/Эротика/Резник Юлия/Тени [Резник]/07 - За тобой.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Тени [Резник]/07 - За тобой.zip	copied	
Э/Эротика/Резник Юлия/Чертов Либман-Сакс/01 - Чертов Либман-Сакс.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Чертов Либман-Сакс/01 - Чертов Либман-Сакс.zip	copied	
Э/Эротика/Резник Юлия/Чертов Либман-Сакс/02 - Застенчивые кроны.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Резник Юлия/Чертов Либман-Сакс/02 - Застенчивые кроны.zip	copied	
Э/Эротика/Салах Алайна/Демидовы/02 - Элита.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Салах Алайна/Демидовы/02 - Элита.zip	copied	
Э/Эротика/Салах Алайна/Демидовы/03 - Папина дочка.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Салах Алайна/Демидовы/03 - Папина дочка.zip	copied	
Э/Эротика/Салах Алайна/Для взрослых/01 - Строго 18+.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Салах Алайна/Для взрослых/01 - Строго 18+.zip	copied	
Э/Эротика/Салах Алайна/Для взрослых/02 - Аморальный.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Салах Алайна/Для взрослых/02 - Аморальный.zip	copied	
Э/Эротика/Салах Алайна/Опасные мужчины [Салах]/01 - Некровные узы.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Салах Алайна/Опасные мужчины [Салах]/01 - Некровные узы.zip	copied	
Э/Эротика/Салах Алайна/Опасные мужчины [Салах]/02 - Порочная месть.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Салах Алайна/Опасные мужчины [Салах]/02 - Порочная месть.zip	copied	
Э/Эротика/Салах Алайна/Опасные мужчины [Салах]/03 - Малая.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Салах Алайна/Опасные мужчины [Салах]/03 - Малая.zip	copied	
Э/Эротика/Салах Алайна/Опасные мужчины [Салах]/04 - Малая Жизнь после тебя.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Салах Алайна/Опасные мужчины [Салах]/04 - Малая Жизнь после тебя.zip	copied	
Э/Эротика/Соболева Ульяна/0Двадцать.zip	/mnt/c/Backup_Nova3/Books_01/Э/Эротика/Соболева Ульяна/0Двадцать.zip	copied	
